opportunity_id,account_name,account_id,segment,stage,amount_brl,close_date,owner_email,forecast_category,created_date,days_in_stage,hubspot_contact_id
OPP-2024040,CONNECTWAVE,ACC-1107,Mid-Market,DISCOVERY,141320.73,2024-10-26,carlos@raptorsoft.com,Best Case,2024-09-25,71,HS-90116
OPP-2024041,Grupo Nexus,ACC-1102,Enterprise,Closed Won,292999.83,2025-01-19,joao@raptorsoft.com,best case,2024-11-22,102,
OPP-2024042,acme,,Mid-Market,Closed Lost,71414.87,2025-01-10,ana.lima@raptorsoft.com,Best Case,2024-11-13,30,HS-90762
OPP-2024043,POLARIS,ACC-1118,SMB,Proposal,9418.62,2024-04-12,mariana@raptorsoft.com,Pipeline,2023-12-03,20,
OPP-2024044,beta solutions,ACC-1101,SMB,Discovery,36060.35,2024-09-22,joao@raptorsoft.com,Commit,2024-07-24,13,
OPP-2024045,ACME CORP,ACC-1100,SMB,Discovery,20074.04,2024-02-27,mariana@raptorsoft.com,Pipeline,2023-08-27,31,HS-90472
OPP-2024046,polare,ACC-1109,Mid-Market,Discovery,83007.57,2025-01-08,carlos@raptorsoft.com,Commit,2024-10-19,50,
OPP-2024047,Fluxo Sistemas,ACC-1105,Mid-Market,Closed Lost,97911.48,2023-09-11,carlos@raptorsoft.com,Omit,2023-07-23,30,HS-90194
OPP-2024048,Amplia Soluções Ltda,ACC-1113,Mid-Market,closed-won,67071.95,2024-11-26,mariana@raptorsoft.com,Commit,2023-11-18,17,HS-90279
OPP-2024049,Fluxo Sistemas Ltda,ACC-1105,Mid-Market,Closed Lost,126507.9,2024-12-03,pedro@raptorsoft.com,Omit,2024-11-05,102,
OPP-2024050,CORELOGIC,ACC-1114,SMB,Closed Lost,18001.58,2024-12-15,mariana@raptorsoft.com,Best Case,2024-07-25,39,
OPP-2024051,POLARE,ACC-1109,SMB,Proposal,28467.02,2024-11-30,mariana@raptorsoft.com,Omit,2023-11-16,600,HS-90241
OPP-2024052,Beta Solutions,ACC-1101,Mid-Market,Prospecting,44659.17,2024-12-18,ana.lima@raptorsoft.com,commit,2024-07-02,101,
OPP-2024053,ORBIT DIGITAL,ACC-1104,Enterprise,Closed Lost,443362.45,2024-07-04,,pipeline,2024-06-01,102,
OPP-2024054,nexus,ACC-1102,SMB,Prop,32230.6,2024-09-03,joao@raptorsoft.com,Commit,2023-10-25,62,HS-90502
OPP-2024055,SKYOPS,ACC-1108,Enterprise,Negotiation,334145.88,2024-08-30,pedro@raptorsoft.com,Commit,2024-05-25,102,HS-90220
OPP-2024056,gridsoft,ACC-1117,SMB,Proposal,8328.0,2024-10-26,joao@raptorsoft.com,pipeline,2024-10-07,96,HS-90600
OPP-2024057,Mindbox,ACC-1111,Mid-Market,Discovery,80752.42,2024-11-05,ana.lima@raptorsoft.com,best case,2024-08-24,29,
OPP-2024058,Fluxo,ACC-1105,SMB,Closed Lost,31860.14,2024-11-19,carlos@raptorsoft.com,Commit,2024-09-12,-1,
OPP-2024059,zentra,ACC-1112,SMB,Proposal,16931.36,2024-11-22,joao@raptorsoft.com,pipeline,2024-02-06,85,
OPP-2024060,RushFlow,ACC-1110,SMB,Discovery,25759.7,2023-07-29,ana.lima@raptorsoft.com,Commit,2023-10-22,38,
OPP-2024061,ConnectWave,ACC-1107,Mid-Market,Negotiation,38649.06,2024-11-26,pedro@raptorsoft.com,Pipeline,2024-11-24,52,
OPP-2024062,Data Prime,ACC-1106,Mid-Market,Closed Lost,82405.41,2024-12-04,carlos@raptorsoft.com,Omit,2024-10-14,100,HS-90543
OPP-2024063,polaris,ACC-1118,SMB,DISCOVERY,11904.51,2024-02-27,pedro@raptorsoft.com,Omit,2023-11-29,58,
OPP-2024064,BluePath,ACC-1119,SMB,Prospecting,27098.48,2024-10-11,carlos@raptorsoft.com,commit,2024-09-23,111,
OPP-2024065,MINDBOX,ACC-1111,Enterprise,Proposal,342002.33,2023-10-14,joao@raptorsoft.com,Commit,2023-08-12,750,
OPP-2024066,connectwave,ACC-1107,SMB,Closed Lost,25926.01,2024-09-15,pedro@raptorsoft.com,Omit,2024-08-22,43,HS-90317
OPP-2024067,Amplia Soluções Ltda,ACC-1113,SMB,Discovery,27522.26,2025-01-21,mariana@raptorsoft.com,Pipeline,2023-09-25,3,HS-90349
OPP-2024068,Polare Ltda,ACC-1109,SMB,Closed_Lost,32584.21,2023-12-11,ana.lima@raptorsoft.com,Best Case,2023-11-18,107,HS-90044
OPP-2024069,Amplia,ACC-1113,SMB,Negotiation,31198.78,2025-01-08,pedro@raptorsoft.com,Best Case,2024-09-27,60,HS-90428
OPP-2024070,Innova,ACC-1116,Mid-Market,Closed Lost,134894.03,2025-01-25,ana.lima@raptorsoft.com,Pipeline,2023-11-19,116,HS-90227
OPP-2024071,GridSoft,ACC-1117,Enterprise,Prospecting,132642.17,2024-11-17,,Commit,2024-08-28,118,HS-90480
OPP-2024072,ACME CORP,ACC-1100,SMB,Qualification,24208.15,2024-08-13,pedro@raptorsoft.com,omit,2024-03-19,15,HS-90016
OPP-2024073,mindbox,ACC-1111,Mid-Market,DISCOVERY,79988.11,2024-06-22,,Pipeline,2024-04-24,50,HS-90365
OPP-2024074,Data Prime,,Mid-Market,Closed Lost,46009.15,2024-09-08,mariana@raptorsoft.com,Omit,2023-10-15,104,
OPP-2024075,VERTICE TECH,ACC-1103,SMB,Negotiation,33539.21,2024-10-06,carlos@raptorsoft.com,Pipeline,2024-05-13,103,
OPP-2024076,Vertice Tech,ACC-1103,Mid-Market,Closed Lost,117249.76,2024-08-26,carlos@raptorsoft.com,commit,2024-07-11,78,HS-90359
OPP-2024077,CoreLogic,ACC-1114,Enterprise,Discovery,368473.56,2025-01-27,ana.lima@raptorsoft.com,Best Case,2024-09-18,87,HS-90241
OPP-2024078,ConnectWave,ACC-1107,SMB,Negotiation,20747.29,2023-12-21,carlos@raptorsoft.com,Omit,2023-08-03,-1,
OPP-2024079,TapFlow,ACC-1115,Mid-Market,Negotiation,88944.02,2024-09-23,carlos@raptorsoft.com,Omit,2024-02-05,91,HS-90307
OPP-2024080,Core Logic,ACC-1114,Enterprise,Closed Lost,416826.27,2024-09-03,pedro@raptorsoft.com,Commit,2023-12-26,114,HS-90734
OPP-2024081,RushFlow,ACC-1110,Mid-Market,Qualification,83996.94,2024-12-06,ana.lima@raptorsoft.com,Best Case,2023-09-14,117,
OPP-2024082,Data Prime,ACC-1106,Mid-Market,Negotiation,60072.64,2024-07-21,ana.lima@raptorsoft.com,Pipeline,2024-06-19,75,
OPP-2024083,GridSoft,ACC-1117,SMB,Closed Won,25024.8,2025-01-01,mariana@raptorsoft.com,Commit,2024-03-28,10,HS-90495
OPP-2024084,DataPrime,ACC-1106,SMB,Closed Won,17087.97,2024-06-18,ana.lima@raptorsoft.com,omit,2024-05-22,7,
OPP-2024085,GridSoft,,SMB,Negotiation,11644.19,2025-01-11,pedro@raptorsoft.com,omit,2024-05-31,31,HS-90288
OPP-2024086,gridsoft,ACC-1117,Mid-Market,Discovery,81711.33,2025-01-29,pedro@raptorsoft.com,Pipeline,2024-10-24,47,HS-90461
OPP-2024087,Fluxo Sistemas,ACC-1105,Enterprise,Qualification,235634.12,2024-06-05,,Omit,2023-10-30,92,HS-90152
OPP-2024088,Rush Flow,ACC-1110,SMB,Qualification,26577.52,2024-09-29,joao@raptorsoft.com,Commit,2024-05-22,87,HS-90742
OPP-2024089,Zentra,ACC-1112,Mid-Market,Closed Won,99316.13,2024-06-23,joao@raptorsoft.com,best case,2024-03-28,90,
OPP-2024090,Amplia Soluções,ACC-1113,SMB,Closed Lost,30459.07,2025-01-17,ana.lima@raptorsoft.com,Omit,2024-10-25,69,HS-90738
OPP-2024091,innova,ACC-1116,SMB,Qualification,14765.22,2024-12-13,carlos@raptorsoft.com,Omit,2024-11-07,120,HS-90587
OPP-2024092,CONNECTWAVE,ACC-1107,Enterprise,Closed Lost,385656.51,2024-10-09,pedro@raptorsoft.com,Omit,2024-06-18,72,HS-90758
OPP-2024093,ORBIT DIGITAL,ACC-1104,Mid-Market,Closed Won,69635.23,2024-04-27,mariana@raptorsoft.com,Best Case,2024-02-17,26,
OPP-2024094,TapFlow,ACC-1115,Mid-Market,Negotiation,34475.79,2024-05-23,mariana@raptorsoft.com,Pipeline,2024-02-23,24,
OPP-2024095,Zentra Tech,,Enterprise,Discovery,455703.99,2024-10-15,carlos@raptorsoft.com,Best Case,2024-06-08,59,HS-90345
OPP-2024096,MINDBOX,ACC-1111,Mid-Market,Negotiation,129238.78,2023-05-24,,Omit,2023-12-27,50,HS-90309
OPP-2024097,Mind Box,ACC-1111,SMB,Closed Won,28372.51,2024-12-30,carlos@raptorsoft.com,Pipeline,2024-07-03,29,HS-90465
OPP-2024098,Zentra Tech,ACC-1112,SMB,Closed Lost,28243.31,2024-11-04,joao@raptorsoft.com,pipeline,2024-10-25,116,
OPP-2024099,RushFlow,ACC-1110,SMB,Closed Won,8182.96,2024-10-15,carlos@raptorsoft.com,Pipeline,2024-01-27,51,
OPP-2024100,Sky Ops,ACC-1108,Mid-Market,Prospecting,64450.88,2024-11-03,mariana@raptorsoft.com,Omit,2023-08-31,88,
OPP-2024101,bluepath,,SMB,Closed Won,34218.76,2024-11-10,ana.lima@raptorsoft.com,Omit,2023-11-08,20,HS-90676
OPP-2024102,TAPFLOW,ACC-1115,Enterprise,Qualification,339113.96,2023-09-04,ana.lima@raptorsoft.com,Pipeline,2023-07-17,97,
OPP-2024103,polaris,ACC-1118,Mid-Market,Qualification,109225.49,2024-06-08,mariana@raptorsoft.com,Best Case,2024-05-24,7,HS-90326
OPP-2024104,Sky Ops,ACC-1108,SMB,Closed Lost,13433.89,2024-08-29,pedro@raptorsoft.com,Omit,2024-01-05,50,HS-90080
OPP-2024105,Innova,ACC-1116,SMB,Prospecting,28578.52,2024-11-07,carlos@raptorsoft.com,Best Case,2024-01-12,-1,HS-90772
OPP-2024106,ORBIT DIGITAL,ACC-1104,Mid-Market,Proposal,123061.67,2024-07-27,mariana@raptorsoft.com,Commit,2024-01-26,103,HS-90327
OPP-2024107,Connect Wave,ACC-1107,SMB,Closed Won,14127.09,2024-04-30,ana.lima@raptorsoft.com,Best Case,2024-02-12,84,HS-90500
OPP-2024108,Zentra,ACC-1112,Mid-Market,Closed Won,116437.62,2024-09-22,joao@raptorsoft.com,Pipeline,2023-12-20,86,
OPP-2024109,CORELOGIC,ACC-1114,SMB,Proposal,26624.23,2024-06-28,pedro@raptorsoft.com,commit,2024-11-29,3,
OPP-2024110,beta solutions,ACC-1101,SMB,Negotiation,33532.5,2024-08-07,ana.lima@raptorsoft.com,Best Case,2024-01-13,106,
OPP-2024111,POLARE,ACC-1109,Mid-Market,Prospecting,124125.16,2024-02-09,pedro@raptorsoft.com,Pipeline,2023-12-23,6,HS-90577
OPP-2024112,Vértice Tech,ACC-1103,Enterprise,Qualification,259318.41,2023-12-30,pedro@raptorsoft.com,Omit,2023-07-17,97,
OPP-2024113,Sky Ops,ACC-1108,Enterprise,Negotiation,-409421.97,2024-08-21,carlos@raptorsoft.com,Omit,2024-06-13,49,HS-90087
OPP-2024114,Fluxo Sistemas Ltda,ACC-1105,SMB,Prospecting,18300.0,2023-01-06,carlos@raptorsoft.com,Commit,2023-09-14,12,
OPP-2024115,acme,ACC-1100,SMB,Negotiation,16355.06,2023-11-16,ana.lima@raptorsoft.com,Best Case,2023-10-04,22,
OPP-2024116,skyops,ACC-1108,SMB,DISCOVERY,38047.78,2025-01-04,carlos@raptorsoft.com,omit,2024-11-07,49,HS-90440
OPP-2024117,GRIDSOFT,ACC-1117,Enterprise,Discovery,225673.31,2024-04-28,ana.lima@raptorsoft.com,Omit,2023-11-17,36,
OPP-2024118,bluepath,,SMB,Closed Won,29792.85,2024-09-18,ana.lima@raptorsoft.com,Best Case,2023-07-28,20,HS-90612
OPP-2024119,Sky Ops,ACC-1108,Mid-Market,DISCOVERY,127475.64,2024-09-28,pedro@raptorsoft.com,pipeline,2024-09-01,87,
OPP-2024120,BETA SOLUTIONS,ACC-1101,SMB,Proposal,21207.21,2024-02-24,joao@raptorsoft.com,Commit,2024-02-12,94,HS-90211
OPP-2024121,DataPrime,ACC-1106,SMB,prospecting,33356.51,2024-12-31,pedro@raptorsoft.com,Best Case,2024-10-06,72,HS-90414
OPP-2024122,Vertice,ACC-1103,Mid-Market,Prospecting,-83949.0,2024-10-02,pedro@raptorsoft.com,Pipeline,2024-08-09,42,HS-90501
OPP-2024123,ZENTRA,ACC-1112,Mid-Market,DISCOVERY,104083.52,2024-10-20,carlos@raptorsoft.com,Pipeline,2024-08-05,40,
OPP-2024124,Mindbox,ACC-1111,Mid-Market,Qualification,140299.32,2024-10-18,pedro@raptorsoft.com,omit,2024-09-06,46,HS-90393
OPP-2024125,RushFlow,ACC-1110,Mid-Market,Proposal,50070.42,2024-12-13,carlos@raptorsoft.com,Commit,2024-11-15,59,HS-90115
OPP-2024126,FLUXO SISTEMAS,ACC-1105,Mid-Market,Negotiation,116277.63,2024-08-05,joao@raptorsoft.com,Best Case,2024-07-10,45,HS-90120
OPP-2024127,Orbit Digital,ACC-1104,Mid-Market,Closed Lost,49917.79,2024-08-15,pedro@raptorsoft.com,Commit,2024-06-24,42,HS-90273
OPP-2024128,rushflow,ACC-1110,Enterprise,Qualification,496994.49,2023-12-09,carlos@raptorsoft.com,Best Case,2023-10-06,98,HS-90591
OPP-2024129,zentra,ACC-1112,SMB,Closed Won,31910.95,2024-12-08,joao@raptorsoft.com,Omit,2023-09-16,109,
OPP-2024130,beta solutions,,Mid-Market,Proposal,68743.82,2024-04-15,,Omit,2024-02-09,81,HS-90161
OPP-2024131,Acme Corp.,ACC-1100,Enterprise,Closed Won,449769.35,2024-03-11,joao@raptorsoft.com,best case,2024-01-24,40,HS-90093
OPP-2024132,Acme Corp,ACC-1100,Mid-Market,Negotiation,31114.43,2025-01-26,ana.lima@raptorsoft.com,Best Case,2023-11-13,94,
OPP-2024133,Tap Flow,ACC-1115,Mid-Market,Closed Won,93660.99,2024-06-26,ana.lima@raptorsoft.com,Best Case,2023-11-14,79,
OPP-2024134,Grupo Nexus,ACC-1102,Mid-Market,Proposal,63236.12,2024-11-24,joao@raptorsoft.com,Commit,2024-06-24,85,
OPP-2024135,CONNECTWAVE,,Mid-Market,Proposal,106569.88,2024-03-08,carlos@raptorsoft.com,omit,2024-03-02,23,
OPP-2024136,ORBIT DIGITAL,ACC-1104,Enterprise,Negotiation,269430.09,2025-01-21,carlos@raptorsoft.com,Best Case,2024-08-11,118,HS-90400
OPP-2024137,TapFlow,ACC-1115,Mid-Market,Discovery,131576.17,2023-02-26,ana.lima@raptorsoft.com,Commit,2023-09-06,91,HS-90355
OPP-2024138,TapFlow,ACC-1115,Mid-Market,Discovery,62251.74,2024-01-02,joao@raptorsoft.com,Omit,2023-12-18,74,
OPP-2024139,GRIDSOFT,ACC-1117,SMB,Discovery,36299.39,2023-01-13,mariana@raptorsoft.com,commit,2023-12-09,23,HS-90731
OPP-2024140,SKYOPS,ACC-1108,SMB,Closed Won,33909.89,2024-09-12,joao@raptorsoft.com,Pipeline,2024-08-30,111,HS-90566
OPP-2024141,connectwave,ACC-1107,SMB,Closed Won,21237.43,2024-08-15,joao@raptorsoft.com,omit,2024-05-07,45,HS-90001
OPP-2024142,Connect Wave,ACC-1107,Mid-Market,Prospecting,80377.9,2024-07-21,pedro@raptorsoft.com,best case,2024-05-10,115,
OPP-2024143,INNOVA,ACC-1116,SMB,Proposal,9574.79,2024-10-08,carlos@raptorsoft.com,Commit,2023-09-02,26,
OPP-2024144,polare,ACC-1109,SMB,Closed Lost,15790.77,2024-12-23,carlos@raptorsoft.com,Pipeline,2024-07-01,92,HS-90050
OPP-2024145,Fluxo Sistemas Ltda,ACC-1105,Enterprise,Proposal,137890.11,2023-03-05,carlos@raptorsoft.com,omit,2023-08-01,83,
OPP-2024146,beta solutions,ACC-1101,Enterprise,Closed Lost,232619.96,2024-11-25,mariana@raptorsoft.com,Omit,2024-09-27,49,
OPP-2024147,SkyOps,ACC-1108,SMB,Closed Won,19419.73,2024-05-17,pedro@raptorsoft.com,Best Case,2024-03-08,49,
OPP-2024148,MINDBOX,ACC-1111,SMB,Negotiation ,12665.71,2024-11-29,joao@raptorsoft.com,Best Case,2024-04-02,31,HS-90224
OPP-2024149,bluepath,ACC-1119,SMB,Qualification,16130.15,2024-12-19,ana.lima@raptorsoft.com,Best Case,2023-12-25,104,HS-90179
OPP-2024150,beta solutions,ACC-1101,SMB,Prospecting,5023.92,2024-05-10,pedro@raptorsoft.com,best case,2024-02-10,19,
OPP-2024151,POLARIS,ACC-1118,SMB,Discovery,9775.81,2024-06-17,pedro@raptorsoft.com,Best Case,2023-10-12,119,HS-90603
OPP-2024152,CONNECTWAVE,ACC-1107,Mid-Market,Qualification,114241.01,2024-05-13,pedro@raptorsoft.com,Commit,2024-04-27,73,
OPP-2024153,Data Prime,ACC-1106,SMB,Closed Lost,27368.59,2024-02-03,joao@raptorsoft.com,Commit,2023-09-29,7,HS-90423
OPP-2024154,CONNECTWAVE,ACC-1107,Mid-Market,Closed Lost,108116.35,2023-11-18,carlos@raptorsoft.com,Pipeline,2023-10-12,14,HS-90164
OPP-2024155,RUSHFLOW,ACC-1110,Enterprise,Discovery,112397.28,2023-12-27,carlos@raptorsoft.com,pipeline,2023-10-04,25,HS-90747
OPP-2024156,Amplia Soluções,ACC-1113,SMB,Prospecting,-24238.19,2023-11-20,ana.lima@raptorsoft.com,pipeline,2023-10-07,38,HS-90315
OPP-2024157,Polare Ltda,ACC-1109,Enterprise,Prospecting,252578.07,2024-04-19,carlos@raptorsoft.com,Omit,2024-03-28,20,HS-90352
OPP-2024158,SKYOPS,ACC-1108,Mid-Market,Prop,80235.85,2024-10-18,joao@raptorsoft.com,Best Case,2024-02-18,110,HS-90529
OPP-2024159,Amplia Soluções,ACC-1113,Mid-Market,Closed Lost,50059.77,2023-11-22,ana.lima@raptorsoft.com,Omit,2023-11-01,34,
OPP-2024160,dataprime,ACC-1106,SMB,closed-won,26807.03,2024-10-30,pedro@raptorsoft.com,Pipeline,2024-10-12,101,
OPP-2024161,AMPLIA SOLUCOES,,Mid-Market,Prospecting,104189.34,2024-12-16,joao@raptorsoft.com,Commit,2024-10-27,118,
OPP-2024162,innova,ACC-1116,Enterprise,Closed Lost,409612.36,2024-10-16,mariana@raptorsoft.com,best case,2023-10-09,98,HS-90527
OPP-2024163,beta solutions,ACC-1101,Mid-Market,Qualification,98240.68,2024-10-07,carlos@raptorsoft.com,pipeline,2024-08-17,36,HS-90650
OPP-2024164,Amplia Soluções,ACC-1113,SMB,Negotiation,38618.21,2024-12-15,,Pipeline,2024-11-12,110,
OPP-2024165,orbit digital,ACC-1104,Mid-Market,Closed Lost,31067.76,2023-07-29,carlos@raptorsoft.com,Commit,2023-07-21,49,
OPP-2024166,RushFlow,ACC-1110,Mid-Market,Prospecting,131194.07,2024-08-19,carlos@raptorsoft.com,Pipeline,2023-10-13,82,HS-90728
OPP-2024167,Amplia,ACC-1113,SMB,Prospecting,33082.73,2024-03-16,mariana@raptorsoft.com,Commit,2024-03-03,-1,HS-90227
OPP-2024168,zentra,ACC-1112,Mid-Market,Negotiation,108913.76,2023-09-22,carlos@raptorsoft.com,Best Case,2024-07-02,29,
OPP-2024169,MINDBOX,ACC-1111,Mid-Market,closed-won,143316.12,2024-01-26,ana.lima@raptorsoft.com,Commit,2023-10-29,26,
OPP-2024170,gridsoft,ACC-1117,SMB,Proposal,39532.41,2024-01-06,ana.lima@raptorsoft.com,Best Case,2023-09-21,98,HS-90648
OPP-2024171,SkyOps,ACC-1108,Mid-Market,Prospecting,144008.23,2024-12-29,ana.lima@raptorsoft.com,Pipeline,2023-07-05,113,HS-90515
OPP-2024172,Vertice Tech,,Mid-Market,Discovery,92894.12,2024-07-08,ana.lima@raptorsoft.com,Omit,2024-05-01,117,HS-90229
OPP-2024173,GRUPO NEXUS,ACC-1102,Mid-Market,Qualification,125055.26,2024-12-04,,Pipeline,2024-11-28,15,HS-90258
OPP-2024174,Vértice Tech,ACC-1103,Mid-Market,Discovery,92437.11,2024-09-10,pedro@raptorsoft.com,Pipeline,2023-07-10,15,HS-90204
OPP-2024175,Innova,ACC-1116,Enterprise,Closed Won,464142.65,2024-11-01,joao@raptorsoft.com,pipeline,2024-07-01,86,HS-90076
OPP-2024176,Grupo Nexus,,SMB,Proposal,15360.78,2024-03-13,carlos@raptorsoft.com,Commit,2024-02-22,15,HS-90141
OPP-2024177,VERTICE TECH,ACC-1103,SMB,Negotiation,30657.38,2025-01-01,mariana@raptorsoft.com,Commit,2024-09-21,84,HS-90712
OPP-2024178,bluepath,ACC-1119,Enterprise,Proposal,275265.12,2024-11-16,ana.lima@raptorsoft.com,Pipeline,2023-10-15,63,
OPP-2024179,DataPrime,ACC-1106,Mid-Market,Closed Won,112589.0,2024-06-21,joao@raptorsoft.com,pipeline,2024-02-15,21,
OPP-2024180,polare,ACC-1109,SMB,Prospecting,24267.34,2024-11-23,mariana@raptorsoft.com,omit,2024-04-10,64,
OPP-2024181,RushFlow,ACC-1110,Mid-Market,Negotiation,84744.95,2024-08-29,pedro@raptorsoft.com,Commit,2024-05-07,92,HS-90777
OPP-2024182,Acme,ACC-1100,SMB,Negotiation,29573.36,2023-07-20,ana.lima@raptorsoft.com,omit,2024-04-24,101,
OPP-2024183,Zentra,ACC-1112,Mid-Market,Closed Lost,100717.94,2023-11-06,mariana@raptorsoft.com,Pipeline,2023-11-04,62,HS-90177
