telemetry_id,account_domain,week_start,active_users,sessions_total,feature_depth_score,automation_runs,api_calls,last_login_days_ago,plan_tier,customer_id_fk
TEL-00079,polaris.com.br,2024-04-13,41,208,0.317,600,1829,30,Growth,CUST-0418
TEL-00080,verticetech.com.br,2024-07-13,12,39,0.382,69,461,2,GROWTH,
TEL-00081,innova.com.br,2024-08-24,3,19,0.19,120,1868,21,Enterprise,CUST-0416
TEL-00082,acmecorp.com.br,2024-03-16,9,27,0.907,256,1768,8,Enterprise,CUST-0400
TEL-00083,polare.com.br,2024-04-06,21,141,0.697,135,403,12,starter,CUST-0409
TEL-00084,gruponexus.com.br,2024-01-13,12,118,0.214,554,1875,9,GROWTH,CUST-0402
TEL-00085,fluxosistemas.com.br,2025-01-11,60,367,0.163,338,342,10,Growth,CUST-0405
TEL-00086,mindbox.com.br,2024-01-20,9,79,0.776,356,31,5,Enterprise,
TEL-00087,gruponexus.com.br,2024-12-21,39,173,0.459,364,1864,5,growth,
TEL-00088,mindbox.com.br,2024-01-13,56,406,0.741,95,130,15,Starter,
TEL-00089,dataprime.com.br,2024-03-02,20,140,1.072,45,2577,23,starter,
TEL-00090,gridsoft.com.br,2024-04-13,3,29,0.769,287,282,20,Business,
TEL-00091,rushflow.com.br,2024-12-28,39,200,0.267,57,878,3,Growth,CUST-0410
TEL-00092,dataprime.com.br,2024-02-03,5,54,0.721,397,1932,27,Starter,
TEL-00093,bluepath.com.br,2024-12-21,25,109,0.923,139,752,21,growth,CUST-0419
TEL-00094,corelogic.com.br,2024-04-20,3,12,0.42,444,1405,23,Growth Plan,CUST-0414
TEL-00095,rushflow.com.br,2024-11-16,6,37,0.381,447,197,0,enterprise plan,CUST-0410
TEL-00096,mindbox.com.br,2024-02-17,59,443,0.679,549,1088,27,Business,
TEL-00097,ampliasolucoes.com.br,2024-08-03,58,213,0.337,326,1543,3,enterprise plan,CUST-0413
TEL-00098,dataprime.com.br,2024-04-27,48,182,1.072,211,792,7,Business,CUST-0406
TEL-00099,verticetech.com.br,2024-11-30,20,164,0.216,190,291,13,Growth Plan,
TEL-00100,betasolutions.com.br,2024-01-27,9,82,0.254,161,,15,Enterprise,CUST-0401
TEL-00101,bluepath.com.br,2024-04-06,49,401,0.84,215,,4,GROWTH,CUST-0419
TEL-00102,gruponexus.com.br,2025-01-04,10,36,0.155,433,2000,16,Enterprise,CUST-0402
TEL-00103,polaris.com.br,2024-09-21,13,128,0.247,317,360,9,enterprise plan,
TEL-00104,corelogic.com.br,2024-10-05,27,160,0.14,297,1882,0,Growth Plan,
TEL-00105,orbitdigital.com.br,2024-02-17,46,432,0.214,272,1587,5,Enterprise,CUST-0404
TEL-00106,gridsoft.com.br,2024-07-13,42,202,0.139,351,,22,Business,CUST-0417
TEL-00107,corelogic.com.br,2024-03-23,43,157,0.146,112,44,25,Growth,
TEL-00108,zentra.com.br,2025-01-18,19,181,0.313,53,,18,growth,CUST-0412
TEL-00109,skyops.com.br,2024-01-27,42,127,0.718,276,593,24,Growth,CUST-0408
TEL-00110,fluxosistemas.com.br,2024-03-16,22,207,0.655,248,706,21,Starter,CUST-0405
TEL-00111,skyops.com.br,2024-01-20,24,209,0.109,254,518,14,Growth,CUST-0408
TEL-00112,ampliasolucoes.com.br,2024-04-06,24,126,0.69,424,1087,24,Starter,CUST-0413
TEL-00113,gruponexus.com.br,2024-09-14,56,489,1.112,180,348,-3,Enterprise,
TEL-00114,ampliasolucoes.com.br,2024-03-16,44,231,0.44,210,153,20,Starter,CUST-0413
TEL-00115,gridsoft.com.br,2024-06-08,0,0,0.774,466,846,26,Business,
TEL-00116,gridsoft.com.br,2024-12-21,38,256,0.991,404,1007,23,Business,
TEL-00117,orbitdigital.com.br,2024-01-27,55,458,0.767,561,1637,19,growth,
TEL-00118,gruponexus.com.br,2024-11-23,55,431,0.939,482,188,12,Growth,CUST-0402
TEL-00119,orbitdigital.com.br,2024-11-09,71,411,0.898,373,1979,26,Starter,CUST-0404
TEL-00120,tapflow.com.br,2024-11-02,24,201,0.265,488,,4,BUSINESS,
TEL-00121,mindbox.com.br,2024-12-21,54,357,0.687,101,243,21,Enterprise,CUST-0411
TEL-00122,gridsoft.com.br,2024-07-13,15,110,0.579,107,401,9,Growth,CUST-0417
TEL-00123,verticetech.com.br,2025-01-11,30,201,0.234,477,,6,Growth,CUST-0403
TEL-00124,gruponexus.com.br,2024-08-17,36,241,0.946,429,1510,2,Business,
TEL-00125,polaris.com.br,2024-07-13,25,154,0.739,186,1213,8,starter,CUST-0418
TEL-00126,ampliasolucoes.com.br,2024-07-06,22,92,0.234,58,138,15,Enterprise,CUST-0413
TEL-00127,bluepath.com.br,2024-01-27,17,165,0.845,87,1517,20,GROWTH,
TEL-00128,gridsoft.com.br,2024-11-09,35,323,0.574,225,450,28,Growth,
TEL-00129,bluepath.com.br,2024-03-30,64,517,0.71,339,296,28,Growth,
TEL-00130,connectwave.com.br,2025-01-18,49,299,0.922,226,751,28,Business,
TEL-00131,tapflow.com.br,2024-12-28,40,179,0.225,126,1391,11,Starter,
TEL-00132,acmecorp.com.br,2024-05-04,38,316,0.908,208,,22,Business,CUST-0400
TEL-00133,gruponexus.com.br,2024-11-02,43,290,0.593,105,1924,8,Growth Plan,CUST-0402
TEL-00134,bluepath.com.br,2024-09-14,39,274,0.815,573,1613,23,Growth Plan,CUST-0419
TEL-00135,rushflow.com.br,2024-06-01,7,39,0.244,580,1238,10,Starter,
TEL-00136,betasolutions.com.br,2024-10-05,34,190,0.316,41,1885,19,Starter,CUST-0401
TEL-00137,orbitdigital.com.br,2024-08-03,12,86,0.702,257,1889,4,enterprise plan,CUST-0404
TEL-00138,verticetech.com.br,2024-10-05,31,241,0.841,418,974,8,Growth,CUST-0403
TEL-00139,skyops.com.br,2024-06-08,63,534,0.115,26,1953,18,Growth,CUST-0408
TEL-00140,polaris.com.br,2024-04-27,37,197,0.116,371,1230,17,Business,
TEL-00141,zentra.com.br,2024-08-31,47,376,0.89,256,1046,18,Starter,
TEL-00142,gridsoft.com.br,2024-09-21,39,124,1.105,323,,-3,starter,CUST-0417
TEL-00143,rushflow.com.br,2024-11-16,20,90,0.887,459,,7,Growth Plan,CUST-0410
TEL-00144,orbitdigital.com.br,2024-06-08,31,238,0.903,136,444,24,enterprise plan,
TEL-00145,orbitdigital.com.br,2024-03-09,37,250,0.61,399,258,6,Business,CUST-0404
TEL-00146,acmecorp.com.br,2024-06-01,34,107,0.45,521,431,28,Growth,CUST-0400
TEL-00147,gruponexus.com.br,2024-06-01,9,43,0.663,113,384,10,Business,CUST-0402
TEL-00148,gridsoft.com.br,2024-09-07,0,1,0.754,248,666,26,Starter,CUST-0417
TEL-00149,connectwave.com.br,2024-05-11,39,136,0.532,467,1914,0,Business,
TEL-00150,ampliasolucoes.com.br,2024-01-27,58,402,0.6,146,288,28,Enterprise,
TEL-00151,innova.com.br,2024-02-03,55,526,0.946,21,1395,1,Business,CUST-0416
TEL-00152,skyops.com.br,2024-07-20,57,566,0.208,453,1735,21,Starter,
TEL-00153,connectwave.com.br,2025-01-25,26,111,0.747,382,1005,19,Growth,
TEL-00154,connectwave.com.br,2024-08-17,44,240,0.972,42,1217,13,Enterprise,CUST-0407
TEL-00155,acmecorp.com.br,2024-11-16,45,166,0.572,321,728,15,Growth,CUST-0400
TEL-00156,tapflow.com.br,2024-02-10,45,169,0.223,51,,1,Growth,CUST-0415
TEL-00157,mindbox.com.br,2024-04-06,34,145,0.418,230,443,3,enterprise plan,
TEL-00158,corelogic.com.br,2024-05-04,48,259,0.321,428,205,24,growth,
TEL-00159,mindbox.com.br,2024-01-20,13,43,0.271,577,1919,0,Growth,
TEL-00160,ampliasolucoes.com.br,2024-02-24,58,288,0.839,458,286,26,growth,CUST-0413
TEL-00161,betasolutions.com.br,2024-01-20,39,214,0.687,247,,30,Business,CUST-0401
TEL-00162,rushflow.com.br,2024-02-03,25,205,0.345,504,1601,3,Business,
TEL-00163,ampliasolucoes.com.br,2024-07-06,10,31,0.374,555,288,8,Enterprise,CUST-0413
TEL-00164,innova.com.br,2024-04-20,15,64,0.485,458,477,14,enterprise plan,CUST-0416
TEL-00165,connectwave.com.br,2024-06-01,29,133,1.061,570,,25,Enterprise,CUST-0407
TEL-00166,rushflow.com.br,2024-12-21,8,49,0.136,175,1857,15,growth,
TEL-00167,fluxosistemas.com.br,2024-04-06,32,138,0.563,486,429,17,Business,
TEL-00168,polaris.com.br,2024-11-16,0,0,0.441,180,400,13,enterprise plan,
TEL-00169,mindbox.com.br,2024-06-22,60,446,0.701,400,,17,Enterprise,CUST-0411
TEL-00170,bluepath.com.br,2024-07-06,60,478,0.794,337,18,16,Starter,CUST-0419
TEL-00171,innova.com.br,2024-05-25,13,47,0.343,452,142,30,Enterprise,
TEL-00172,polare.com.br,2024-10-05,15,95,0.525,439,1573,1,Starter,CUST-0409
TEL-00173,orbitdigital.com.br,2024-04-27,30,205,0.933,235,1360,9,Business,CUST-0404
TEL-00174,corelogic.com.br,2024-04-27,31,104,0.936,442,678,28,GROWTH,
TEL-00175,gruponexus.com.br,2024-12-28,3,26,0.228,344,339,18,Starter,CUST-0402
TEL-00176,innova.com.br,2025-01-11,56,231,0.749,448,297,28,Starter,CUST-0416
TEL-00177,betasolutions.com.br,2024-03-23,0,0,0.794,144,724,29,Starter,CUST-0401
TEL-00178,betasolutions.com.br,2024-05-25,35,349,0.438,216,557,21,Enterprise,CUST-0401
TEL-00179,bluepath.com.br,2024-11-02,39,216,0.258,403,1736,0,Growth,CUST-0419
TEL-00180,gridsoft.com.br,2024-12-14,10,75,0.855,459,65,26,Business,
TEL-00181,polare.com.br,2024-08-03,38,332,0.497,444,525,16,Starter,
TEL-00182,polaris.com.br,2024-11-09,1,9,0.55,60,533,4,Enterprise,CUST-0418
TEL-00183,fluxosistemas.com.br,2024-03-02,22,87,0.95,192,432,18,Enterprise,
TEL-00184,ampliasolucoes.com.br,2024-04-27,47,309,0.541,44,458,21,Starter,CUST-0413
TEL-00185,bluepath.com.br,2024-07-20,51,403,0.627,155,324,21,Enterprise,CUST-0419
TEL-00186,tapflow.com.br,2024-08-03,0,0,0.388,295,1683,26,Starter,CUST-0415
TEL-00187,tapflow.com.br,2024-11-16,15,107,0.302,257,1008,11,Business,CUST-0415
TEL-00188,connectwave.com.br,2024-06-15,52,427,0.949,515,1855,4,Starter,CUST-0407
TEL-00189,dataprime.com.br,2024-11-02,38,181,0.787,339,248,15,Business,CUST-0406
TEL-00190,bluepath.com.br,2025-01-11,57,523,0.541,512,906,24,Growth,CUST-0419
TEL-00191,gridsoft.com.br,2024-06-29,34,285,0.931,338,1373,27,Starter,
TEL-00192,bluepath.com.br,2024-03-23,52,236,0.691,2,724,6,GROWTH,
TEL-00193,orbitdigital.com.br,2025-01-04,11,55,0.593,312,817,16,Business,
TEL-00194,mindbox.com.br,2024-02-24,67,602,0.653,618,,9,Enterprise,
TEL-00195,dataprime.com.br,2024-03-30,53,497,0.539,500,726,20,Enterprise,CUST-0406
TEL-00196,verticetech.com.br,2024-10-05,11,58,0.765,228,248,24,Business,CUST-0403
TEL-00197,acmecorp.com.br,2024-09-21,57,349,0.641,55,454,19,Starter,CUST-0400
TEL-00198,skyops.com.br,2024-07-27,44,352,0.604,179,,15,Enterprise,CUST-0408
TEL-00199,gridsoft.com.br,2024-07-20,24,72,0.402,376,1140,17,Growth,CUST-0417
TEL-00200,skyops.com.br,2024-08-24,4,15,0.444,462,1485,19,Growth,CUST-0408
TEL-00201,innova.com.br,2024-10-26,25,195,0.132,106,119,17,Business,
TEL-00202,gridsoft.com.br,2024-03-09,26,146,0.246,242,1560,26,Growth,
TEL-00203,dataprime.com.br,2024-08-24,11,108,0.896,352,1730,8,Enterprise,CUST-0406
TEL-00204,fluxosistemas.com.br,2024-11-16,36,233,0.794,145,1774,9,GROWTH,CUST-0405
TEL-00205,gruponexus.com.br,2024-08-17,16,67,0.51,491,220,0,Starter,CUST-0402
TEL-00206,rushflow.com.br,2024-10-05,24,204,0.804,458,174,25,enterprise plan,CUST-0410
TEL-00207,zentra.com.br,2024-06-08,16,139,0.487,70,548,29,GROWTH,CUST-0412
TEL-00208,polare.com.br,2024-06-15,7,43,0.475,513,1762,18,GROWTH,CUST-0409
TEL-00209,innova.com.br,2024-05-04,43,257,0.119,275,1473,0,Business,CUST-0416
TEL-00210,connectwave.com.br,2024-05-25,56,494,0.824,169,683,11,Enterprise,CUST-0407
TEL-00211,corelogic.com.br,2024-06-01,53,495,0.817,14,1395,21,Enterprise,CUST-0414
TEL-00212,polaris.com.br,2024-03-30,39,347,0.836,579,1372,5,Growth Plan,CUST-0418
TEL-00213,fluxosistemas.com.br,2025-01-25,18,178,0.128,314,637,9,Business,CUST-0405
TEL-00214,zentra.com.br,2024-01-20,49,190,0.748,26,738,5,Growth,
TEL-00215,orbitdigital.com.br,2024-07-06,52,174,0.34,172,887,17,Starter,
TEL-00216,skyops.com.br,2024-06-01,11,46,0.958,153,1122,16,Starter,CUST-0408
TEL-00217,skyops.com.br,2024-10-26,43,314,0.435,206,1161,13,Starter,
TEL-00218,polaris.com.br,2024-09-21,44,290,0.329,234,3,-3,Starter,CUST-0418
TEL-00219,bluepath.com.br,2024-11-02,22,170,0.271,238,420,23,Growth,CUST-0419
TEL-00220,gruponexus.com.br,2025-01-25,15,134,0.578,501,503,11,Business,CUST-0402
TEL-00221,bluepath.com.br,2024-11-30,51,501,0.312,333,,13,Growth,CUST-0419
TEL-00222,acmecorp.com.br,2024-11-09,15,135,0.6,471,536,14,Growth,
TEL-00223,gruponexus.com.br,2024-04-20,35,183,0.94,117,1861,18,Enterprise,CUST-0402
TEL-00224,zentra.com.br,2024-07-06,10,92,0.748,177,514,6,Business,CUST-0412
TEL-00225,rushflow.com.br,2024-08-17,31,237,0.592,366,1686,16,Enterprise,
TEL-00226,polaris.com.br,2024-01-13,25,218,0.433,76,1288,-3,Enterprise,CUST-0418
TEL-00227,fluxosistemas.com.br,2024-08-10,9,47,0.193,4,656,14,Starter,
TEL-00228,fluxosistemas.com.br,2024-02-24,64,628,0.272,598,435,28,Business,CUST-0405
TEL-00229,corelogic.com.br,2024-11-23,24,151,0.529,215,1017,23,Business,CUST-0414
TEL-00230,mindbox.com.br,2024-11-30,54,212,0.949,552,389,30,enterprise plan,
TEL-00231,betasolutions.com.br,2024-09-07,15,45,0.947,286,462,28,Starter,
TEL-00232,gridsoft.com.br,2024-06-29,15,64,0.218,400,1812,13,Growth,CUST-0417
TEL-00233,mindbox.com.br,2024-05-11,25,88,1.189,88,32,18,Growth,CUST-0411
TEL-00234,fluxosistemas.com.br,2024-12-21,13,58,0.593,336,1299,30,Growth,CUST-0405
TEL-00235,verticetech.com.br,2025-01-04,43,368,1.253,356,1071,28,BUSINESS,
TEL-00236,ampliasolucoes.com.br,2024-11-02,40,330,0.685,71,502,29,Enterprise,CUST-0413
TEL-00237,verticetech.com.br,2024-03-02,7,65,0.503,481,1924,27,Business,
TEL-00238,verticetech.com.br,2024-05-04,57,380,0.667,435,,12,Starter,
TEL-00239,polaris.com.br,2024-12-14,41,280,0.439,18,1887,12,Business,
TEL-00240,polare.com.br,2024-05-04,26,109,0.141,313,580,19,Business,CUST-0409
TEL-00241,verticetech.com.br,2024-01-27,58,232,0.491,570,1363,16,Enterprise,
TEL-00242,polare.com.br,2025-01-25,33,188,0.772,199,5,11,Business,
TEL-00243,polaris.com.br,2024-01-13,56,177,0.95,141,50,-1,Starter,CUST-0418
TEL-00244,tapflow.com.br,2024-11-30,49,192,0.666,502,,3,Starter,
TEL-00245,skyops.com.br,2024-01-06,32,220,0.959,527,1274,-3,Business,CUST-0408
TEL-00246,verticetech.com.br,2024-05-11,18,95,0.559,312,1098,21,Starter,
TEL-00247,ampliasolucoes.com.br,2024-11-02,37,270,0.659,279,464,2,Starter,CUST-0413
TEL-00248,fluxosistemas.com.br,2024-06-22,53,287,0.53,474,1069,19,starter,CUST-0405
TEL-00249,gridsoft.com.br,2024-04-06,19,120,0.738,263,846,5,Business,
TEL-00250,tapflow.com.br,2024-08-24,37,113,0.749,555,137,2,Growth,
TEL-00251,mindbox.com.br,2024-04-13,57,511,0.496,572,908,24,Growth Plan,
TEL-00252,connectwave.com.br,2024-09-28,23,93,1.227,477,,20,Starter,
TEL-00253,polaris.com.br,2024-02-10,40,270,0.729,493,,23,enterprise plan,
TEL-00254,innova.com.br,2024-08-03,11,45,0.601,366,1786,14,Enterprise,
TEL-00255,bluepath.com.br,2024-02-24,19,62,0.604,174,876,5,Starter,CUST-0419
TEL-00256,gridsoft.com.br,2024-12-21,14,118,0.719,312,244,18,Business,
TEL-00257,verticetech.com.br,2024-02-24,37,307,0.221,523,,0,BUSINESS,CUST-0403
TEL-00258,skyops.com.br,2024-04-06,60,596,0.923,314,592,18,Enterprise,CUST-0408
TEL-00259,zentra.com.br,2024-02-03,22,123,0.608,545,864,18,enterprise plan,
TEL-00260,innova.com.br,2024-03-16,53,258,0.239,445,1102,27,Starter,CUST-0416
TEL-00261,innova.com.br,2024-03-23,44,241,0.922,470,,9,Starter,
TEL-00262,tapflow.com.br,2024-06-29,5,37,0.447,374,682,25,Growth,
TEL-00263,verticetech.com.br,2024-01-20,43,181,0.397,523,,30,Starter,
TEL-00264,corelogic.com.br,2024-04-13,12,46,0.4,456,1155,17,GROWTH,
TEL-00265,gruponexus.com.br,2024-08-24,16,68,0.679,443,29,8,Growth,CUST-0402
TEL-00266,polare.com.br,2024-09-28,42,309,0.461,461,1670,22,Business,CUST-0409
TEL-00267,gridsoft.com.br,2024-05-04,33,277,0.477,525,933,6,Enterprise,CUST-0417
TEL-00268,tapflow.com.br,2024-12-21,20,163,1.182,53,262,23,enterprise plan,CUST-0415
TEL-00269,polare.com.br,2024-04-20,44,321,1.343,235,,22,Business,CUST-0409
TEL-00270,ampliasolucoes.com.br,2024-08-03,2,7,0.735,107,1127,3,enterprise plan,
TEL-00271,polaris.com.br,2024-06-22,18,55,0.484,27,1227,10,growth,
TEL-00272,gruponexus.com.br,2024-11-16,47,323,0.239,541,,0,Business,
TEL-00273,fluxosistemas.com.br,2024-09-14,14,42,0.171,32,,17,Starter,CUST-0405
TEL-00274,zentra.com.br,2024-05-25,17,157,0.508,207,1396,22,Growth,CUST-0412
TEL-00275,gridsoft.com.br,2024-08-17,10,80,0.331,325,,1,Growth,CUST-0417
TEL-00276,fluxosistemas.com.br,2024-04-06,60,234,0.14,503,,27,growth,CUST-0405
TEL-00277,polare.com.br,2024-12-28,49,459,0.277,589,1310,7,Starter,CUST-0409
TEL-00278,verticetech.com.br,2024-11-16,40,144,1.27,578,,25,enterprise plan,CUST-0403
TEL-00279,ampliasolucoes.com.br,2024-01-06,4,15,0.168,306,522,24,Enterprise,CUST-0413
TEL-00280,dataprime.com.br,2024-06-22,39,151,0.257,7,400,13,Business,
TEL-00281,tapflow.com.br,2025-01-25,31,111,0.583,596,1984,25,Enterprise,CUST-0415
TEL-00282,rushflow.com.br,2024-05-18,43,454,0.433,323,309,7,Growth,CUST-0410
TEL-00283,mindbox.com.br,2024-02-24,27,98,0.476,444,1095,3,Starter,CUST-0411
TEL-00284,orbitdigital.com.br,2024-08-31,37,322,0.49,445,1915,-3,Enterprise,CUST-0404
TEL-00285,acmecorp.com.br,2024-02-10,2,16,0.325,17,1423,19,growth,CUST-0400
TEL-00286,ampliasolucoes.com.br,2024-08-03,46,438,0.837,294,1053,30,GROWTH,CUST-0413
TEL-00287,betasolutions.com.br,2024-10-05,26,184,0.286,85,895,21,Starter,CUST-0401
TEL-00288,tapflow.com.br,2024-08-10,44,364,0.411,38,123,28,Starter,CUST-0415
TEL-00289,verticetech.com.br,2024-05-11,52,357,0.799,449,1186,26,Growth,CUST-0403
TEL-00290,betasolutions.com.br,2024-05-04,55,521,0.795,15,943,26,Enterprise,CUST-0401
TEL-00291,gruponexus.com.br,2024-07-06,44,418,0.693,785,2167,14,Business,CUST-0402
TEL-00292,fluxosistemas.com.br,2024-02-03,35,214,0.194,219,,5,Business,CUST-0405
TEL-00293,polare.com.br,2024-11-23,35,127,0.61,480,1880,18,Starter,
